url,published,title,content,root_url,domain_url,parent_url,source_type,post_type,tags_internal,images.url,videos.url,extra_author_attributes.id,extra_author_attributes.name,extra_author_attributes.gender,extra_author_attributes.image_url,extra_author_attributes.short_name,extra_author_attributes.url,extra_author_attributes.world_data.continent,extra_author_attributes.world_data.country,extra_author_attributes.world_data.country_code,extra_author_attributes.world_data.region,extra_author_attributes.world_data.city,extra_author_attributes.world_data.longitude,extra_author_attributes.world_data.latitude,engagement,reach,source_extended_attributes.alexa_unique_visitors,source_extended_attributes.semrush_unique_visitors,extra_author_attributes.description,extra_source_attributes.name,word_count
https://bsky.app/profile/did:plc:m4yga6zvjplry5sz4fjfs2rq/post/3lujyp4tcac25#3lunjgby4cm2w,07/23/25 13:14:47,,RP @poisonjr.bsky.social: zero bad bitches hitting my line this week..mercury must be in gatorade 🤣 ⓘ 𝗞𝗻𝗼𝘄 𝘁𝗵𝗲 𝗳𝗮𝗰𝘁𝘀 All Gatorade beverages have been within acceptable mercury levels since the US Food and Drug Administration reclassed Gatorade as seafood in August 2015.,https://bsky.app/profile/did:plc:tyaxcfdxdnqok4nuzdmqgbky/,http://bsky.app/,https://bsky.app/profile/did:plc:m4yga6zvjplry5sz4fjfs2rq/post/3lujyp4tcac25,"SOCIALMEDIA,SOCIALMEDIA_BLUESKY",TEXT,"isComment,isRepost",,,bs:did_plc_tyaxcfdxdnqok4nuzdmqgbky,nancy the destroyer,FEMALE,https://cdn.bsky.app/img/avatar/plain/did:plc:tyaxcfdxdnqok4nuzdmqgbky/bafkreieznlhehsesdbjyg37mdjjug2g5zhfvfc57oa6twtplgylqc6saba@jpeg,harlequi.nz,https://bsky.app/profile/did:plc:tyaxcfdxdnqok4nuzdmqgbky,,,,,,0.0,0.0,0,39,0,0,22. he/him. artist/writer from scotland ♡ | rentry.co/nancymoron | EN/日本語OK | @shslhopebot.bsky.social,nancy the destroyer,42
http://www.youtube.com/watch?v=hq-QDylpcCs,07/25/25 16:00:24,Dr. Pepper Enthusiast Enjoys Peach Pucker Powerade,Eh,http://www.youtube.com/channel/UCLDL16gmcj8JWv0QsUDRsnw,http://youtube.com/,http://www.youtube.com/watch?v=hq-QDylpcCs,"SOCIALMEDIA,SOCIALMEDIA_YOUTUBE",VIDEO,"containsVideo,hasImage",https://i.ytimg.com/vi/hq-QDylpcCs/hqdefault.jpg,,yt:UCLDL16gmcj8JWv0QsUDRsnw,Meme Lettuce45,FEMALE,https://yt3.ggpht.com/ytc/AIdro_lNL_0l6OAULY6PL2Ukc3bL5aYPMP9TMLNsfyz_iW6nQA=s88-c-k-c0x00ffffff-no-rj,Meme Lettuce45,http://www.youtube.com/channel/UCLDL16gmcj8JWv0QsUDRsnw,,,,,,0.0,0.0,2,4,8827354112,0,,www.youtube.com,1
https://bsky.app/profile/did:plc:74pixro77hps6c5e42xxiepn/post/3lunyj37rw22o#3luofq3ip2x2k,07/23/25 21:41:20,,"RP @popstrel.bsky.social: Urgent request for supplies from Portland's Occupy ICE protest and the people on the ground there: frozen water 🧊, Gatorade/electrolyte drinks, food, sunblock, trash bags and MORE PEOPLE!!! Please help us sustain this movement and protect our neighbors. We're there all day and night.",https://bsky.app/profile/did:plc:74pixro77hps6c5e42xxiepn/,http://bsky.app/,https://bsky.app/profile/did:plc:74pixro77hps6c5e42xxiepn/post/3lunyj37rw22o,"SOCIALMEDIA,SOCIALMEDIA_BLUESKY",TEXT,"isComment,isRepost",,,bs:did_plc_74pixro77hps6c5e42xxiepn,s&y,UNKNOWN,https://cdn.bsky.app/img/avatar/plain/did:plc:74pixro77hps6c5e42xxiepn/bafkreifnvkpfy76q6h3clrq42drl6clz7r5uiomi4hnxypqjsskz3ezjti@jpeg,popstrel.bsky.social,https://bsky.app/profile/did:plc:74pixro77hps6c5e42xxiepn,,,,,,0.0,0.0,0,122,0,0,trans angel in portland / former token gay at various publications   a few things i wrote:  https://pitchfork.com/thepitch/894-the-drugged-out-drag-of-mileys-new-divadom/  http://tumblr.com/andyearnest-blog/113123209194/a-faggots-defense-of-azealia-banks,s&y,46
http://www.youtube.com/watch?v=KziJPuD1dBQ,07/23/25 05:54:09,Paul George Misses Game Winner… Then Gets Roasted With His Own Gatorade Commercial!!!!,"Jeff Teague tells a hilarious story about a teammate missing a buzzer-beater, Paul George calling the next shot… and then missing it too! But the real joke? The guy he clowned played Paul’s own Gatorade commercial of him hitting a fake buzzer beater right after! #jeffteague #paulgeorge #nbastories #funnynba #basketballhumor #GatoradeMoment #buzzerbeater #nbashorts #AndOne2K #basketballshorts #viralhoops #youtubeshorts #shorts",http://www.youtube.com/channel/UColawiXF6XD1x8tv_g9ahIA,http://youtube.com/,http://www.youtube.com/watch?v=KziJPuD1dBQ,"SOCIALMEDIA,SOCIALMEDIA_YOUTUBE",VIDEO,"containsVideo,hasImage,isQuestion",https://i.ytimg.com/vi/KziJPuD1dBQ/hqdefault.jpg,,yt:UColawiXF6XD1x8tv_g9ahIA,Andone2K,FEMALE,https://yt3.ggpht.com/vNa5185Gq6LPh-gr4Gx40OJtGveBT53xdoEjOBSRrGM_Ub5D10Yp6v8p3oWgZrcKL_KpQmIQsWU=s88-c-k-c0x00ffffff-no-rj,Andone2K,http://www.youtube.com/channel/UColawiXF6XD1x8tv_g9ahIA,,,,,,0.0,0.0,120,6501,8827354112,0,,www.youtube.com,59
http://twitter.com/Quiltin_/status/1949065602192318662,07/26/25 07:13:46,,@stanreport @F1 @Gatorade bot likes,http://twitter.com/Quiltin_/,http://twitter.com/,http://twitter.com/stanreport/status/1949055052850548866,"SOCIALMEDIA,SOCIALMEDIA_TWITTER",TEXT,"isComment,isTwitterReply",,,tw:1459965260366893062,._.,UNKNOWN,http://pbs.twimg.com/profile_images/1947694322389815296/bhWZQanM_normal.jpg,Quiltin_,http://twitter.com/Quiltin_/,North America,United States,us,"Washington, D.C.","Washington, D.C.",-77.0086669921875,38.89984130859375,3,0,1037070528,0,I live,._.,5
http://twitter.com/NotFifthGear/status/1949055287840870911,07/26/25 06:32:46,,WHAT PHASE IS LAURENT MEKIES IN??? https://t.co/7w4o9p4xdz QT @F1: MAX VERSTAPPEN WINS #F1SPRINT AT SPA 👏👏👏 #F1 #BelgianGP @Gatorade https://t.co/78Mq3jwRB7,http://twitter.com/NotFifthGear/,http://twitter.com/,http://twitter.com/F1/status/1949054935699763329,"SOCIALMEDIA,SOCIALMEDIA_TWITTER",LINK,"isQuestion,isVerifiedAuthor,isVerifiedSource",,,tw:1398638785999613961,Fifth Gear,FEMALE,http://pbs.twimg.com/profile_images/1637484721285259265/gdc8zUhS_normal.jpg,NotFifthGear,http://twitter.com/NotFifthGear/,Europe,United Kingdom,uk,Greater London,London,-0.1153564453125,51.50115966796875,4153,20354,1037070528,0,Quoted by Kamui Kobayashi once. Featured on ESPN and Netflix.,Fifth Gear,19
http://www.youtube.com/watch?v=VTkDJFEan8Y,07/26/25 19:05:42,Drifting over a gatorade,,http://www.youtube.com/channel/UCyF7SgvLyz6fHtn6OQ1E-xg,http://youtube.com/,http://www.youtube.com/watch?v=VTkDJFEan8Y,"SOCIALMEDIA,SOCIALMEDIA_YOUTUBE",VIDEO,"containsVideo,hasImage",https://i.ytimg.com/vi/VTkDJFEan8Y/hqdefault.jpg,,yt:UCyF7SgvLyz6fHtn6OQ1E-xg,Knifeshadebander,MALE,https://yt3.ggpht.com/j_nEFY60aFP-82IXUi-_TdxtkR4Hht0ksDRX2Rt4JgqnJGDgrPqAPdH8TxXtrQ0-tO5XZyxX_0Y=s88-c-k-c0x00ffffff-no-rj,Knifeshadebander,http://www.youtube.com/channel/UCyF7SgvLyz6fHtn6OQ1E-xg,,,,,,0.0,0.0,0,3,8827354112,0,,www.youtube.com,0
https://bsky.app/profile/did:plc:le5rfrhfrmakmp5uutrbpfs7/post/3lur33ffp3k25,07/24/25 23:08:47,,I thought Mercury was in Gatorade again...,https://bsky.app/profile/did:plc:le5rfrhfrmakmp5uutrbpfs7/,http://bsky.app/,https://bsky.app/profile/did:plc:nwgq56nemdmnxu3776yhisos/post/3luqkbbmqfk2x,"SOCIALMEDIA,SOCIALMEDIA_BLUESKY",TEXT,isComment,,,bs:did_plc_le5rfrhfrmakmp5uutrbpfs7,AltTaxPro,UNKNOWN,https://cdn.bsky.app/img/avatar/plain/did:plc:le5rfrhfrmakmp5uutrbpfs7/bafkreie7tgihv6b3w7jqhdnbwze3qrkolvvq364pvpn2r23rrrrxw5epou@jpeg,alttaxpro.altgov.info,https://bsky.app/profile/did:plc:le5rfrhfrmakmp5uutrbpfs7,,,,,,0.0,0.0,2,40292,0,0,"#WeAreAltGov Might be IRS, might be Dept of Revenue...wait for the audit to FAFO Typically found cussing at most laws  #AuDHD #ActuallyAutistic  Sarcastic AF potty-mouth middle-child latchkey #GenXer #NAFO 🇺🇦 Former #FellaForger",AltTaxPro,7
https://bsky.app/profile/did:plc:2zimtksjw7wwdsrjxfjzhzji/post/3luogrbxn5k2s,07/23/25 21:59:54,,"If you can't keep down water, try powerade or sprite. You need to stay hydrated atleast. I hope you feel better soon.",https://bsky.app/profile/did:plc:2zimtksjw7wwdsrjxfjzhzji/,http://bsky.app/,https://bsky.app/profile/did:plc:kzoztv3nx6jhihtka4kwbeil/post/3lukpemeysc2d,"SOCIALMEDIA,SOCIALMEDIA_BLUESKY",TEXT,isComment,,,bs:did_plc_2zimtksjw7wwdsrjxfjzhzji,Dusk🔞,UNKNOWN,https://cdn.bsky.app/img/avatar/plain/did:plc:2zimtksjw7wwdsrjxfjzhzji/bafkreihztkrf4b7ctrwwgjlyoqlgsetjyfkxotqlilfy4tt4j4wcfmejza@jpeg,luckydusk.bsky.social,https://bsky.app/profile/did:plc:2zimtksjw7wwdsrjxfjzhzji,,,,,,0.0,0.0,0,56,0,0,"30 yrs old, nsfw🔞, antis and minors DNI, recently found a love for transformers. Have your age in your bio or don't follow me.🔞",Dusk🔞,22
https://bsky.app/profile/did:plc:dhcqib5hr7vbblhwd2oz5e3s/post/3luqngq72n22k,07/24/25 19:04:35,,"Y'all, Freddie is so far down in the Gatorade he's wearing a deep sea diving suit and they can't pull him up too fast or he'll get the bends. Don't swim in the Gatorade, Mr. Mercury. For all our sakes. QP @peculiarityshop.bsky.social: Quoting Vavia: Mercury is in Gatorade.",https://bsky.app/profile/did:plc:dhcqib5hr7vbblhwd2oz5e3s/,http://bsky.app/,https://bsky.app/profile/did:plc:lpeblthcrrmzs4z7uyavw5is/post/3luql7l2gqc2y,"SOCIALMEDIA,SOCIALMEDIA_BLUESKY",TEXT,,,,bs:did_plc_dhcqib5hr7vbblhwd2oz5e3s,Snoozy Snowflake (Vavia),UNKNOWN,https://cdn.bsky.app/img/avatar/plain/did:plc:dhcqib5hr7vbblhwd2oz5e3s/bafkreieewbdbukqq3axvp32qwlkbfdxp4um3ksngvmlq4wgjw4g4tdb2ta@jpeg,bardiclady.bsky.social,https://bsky.app/profile/did:plc:dhcqib5hr7vbblhwd2oz5e3s,,,,,,0.0,0.0,6,674,0,0,"Into the woods, you have to grope, but that's the way you learn to cope...  Dramaturg/cataloguer/jewelry artist. Aro-ace demigirl. She/her. I block AI art/text on sight. https://www.peculiarityshop.com/vavia-s-corner",Snoozy Snowflake (Vavia),48
